Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,00022	-2,27779	0,00022	-1,30519	0,00022	-0,0448957
0,000222	-2,27779	0,000222	-1,31147	0,000222	-0,0450567
0,000224	-2,2802	0,000224	-1,31775	0,000224	-0,0432857
0,000226	-2,27408	0,000226	-1,32387	0,000226	-0,0477936
0,000228	-2,27779	0,000228	-1,32934	0,000228	-0,0468276
0,00023	-2,27296	0,00023	-1,33546	0,00023	-0,0469886
0,000232	-2,27086	0,000232	-1,34174	0,000232	-0,0457007
0,000234	-2,27231	0,000234	-1,3477	0,000234	-0,0436077
0,000236	-2,27151	0,000236	-1,3522	0,000236	-0,0492426
0,000238	-2,26845	0,000238	-1,35816	0,000238	-0,0482766
0,00024	-2,26909	0,00024	-1,36315	0,00024	-0,0468276
0,000242	-2,26925	0,000242	-1,36879	0,000242	-0,0474716
0,000244	-2,26716	0,000244	-1,37329	0,000244	-0,0489206
0,000246	-2,26555	0,000246	-1,37829	0,000246	-0,0452177
0,000248	-2,26362	0,000248	-1,38295	0,000248	-0,0474716
0,00025	-2,26587	0,00025	-1,38827	0,00025	-0,0481156
0,000252	-2,26362	0,000252	-1,3931	0,000252	-0,0514966
0,000254	-2,26346	0,000254	-1,39728	0,000254	-0,0492426
0,000256	-2,25718	0,000256	-1,40179	0,000256	-0,0494036
0,000258	-2,26072	0,000258	-1,4071	0,000258	-0,0481156
0,00026	-2,25815	0,00026	-1,41081	0,00026	-0,0498866
0,000262	-2,25976	0,000262	-1,41515	0,000262	-0,0479546
0,000264	-2,25734	0,000264	-1,4195	0,000264	-0,0531066
0,000266	-2,25798	0,000266	-1,42337	0,000266	-0,0482766
0,000268	-2,25412	0,000268	-1,42707	0,000268	-0,0508526
0,00027	-2,25702	0,00027	-1,43142	0,00027	-0,0497256
0,000272	-2,2538	0,000272	-1,43592	0,000272	-0,0529456
0,000274	-2,2546	0,000274	-1,43834	0,000274	-0,0514966
0,000276	-2,25315	0,000276	-1,44301	0,000276	-0,0497256
0,000278	-2,25267	0,000278	-1,44671	0,000278	-0,0516576
0,00028	-2,2509	0,00028	-1,44977	0,00028	-0,0519796
0,000282	-2,24913	0,000282	-1,45363	0,000282	-0,0535896
0,000284	-2,24849	0,000284	-1,45653	0,000284	-0,0521406
0,000286	-2,25106	0,000286	-1,45991	0,000286	-0,0526236
0,000288	-2,25348	0,000288	-1,46378	0,000288	-0,0523016
0,00029	-2,25171	0,00029	-1,467	0,00029	-0,0519796
0,000292	-2,24849	0,000292	-1,46957	0,000292	-0,0526236
0,000294	-2,24816	0,000294	-1,47295	0,000294	-0,0539116
0,000296	-2,24591	0,000296	-1,47617	0,000296	-0,0534286
0,000298	-2,24913	0,000298	-1,47971	0,000298	-0,0539116
0,0003	-2,24607	0,0003	-1,48229	0,0003	-0,0540726
0,000302	-2,24623	0,000302	-1,48503	0,000302	-0,0537506
0,000304	-2,24478	0,000304	-1,48793	0,000304	-0,0551996
0,000306	-2,24591	0,000306	-1,49066	0,000306	-0,0553606
0,000308	-2,24527	0,000308	-1,49356	0,000308	-0,0529456
0,00031	-2,24559	0,00031	-1,49549	0,00031	-0,0535896
0,000312	-2,24446	0,000312	-1,49903	0,000312	-0,0545556
0,000314	-2,24349	0,000314	-1,50161	0,000314	-0,0532676
0,000316	-2,24317	0,000316	-1,50403	0,000316	-0,0561656
0,000318	-2,24366	0,000318	-1,50676	0,000318	-0,0579366
0,00032	-2,24172	0,00032	-1,50853	0,00032	-0,0572926
0,000322	-2,23834	0,000322	-1,51191	0,000322	-0,0555216
0,000324	-2,24317	0,000324	-1,51369	0,000324	-0,0553606
0,000326	-2,24349	0,000326	-1,51626	0,000326	-0,0548776
0,000328	-2,24092	0,000328	-1,51884	0,000328	-0,0560046
0,00033	-2,24011	0,00033	-1,52125	0,00033	-0,0551996
0,000332	-2,23818	0,000332	-1,52254	0,000332	-0,0548776
0,000334	-2,23802	0,000334	-1,52479	0,000334	-0,0551996
