Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0,00384	-1,50268	0,00384	-1,16518	0,00384	-0,00912246
0,00386	-1,48031	0,00386	-1,15086	0,00386	-0,00606452
0,00388	-1,45601	0,00388	-1,13621	0,00388	-0,00300659
0,0039	-1,43557	0,0039	-1,12108	0,0039	-0,00300659
0,00392	-1,41223	0,00392	-1,10595	0,00392	-0,00284564
0,00394	-1,38986	0,00394	-1,0905	0,00394	-0,00767396
0,00396	-1,36813	0,00396	-1,07505	0,00396	-0,0102491
0,00398	-1,34302	0,00398	-1,05928	0,00398	-0,00719113
0,004	-1,31824	0,004	-1,04367	0,004	-0,00445508
0,00402	-1,29892	0,00402	-1,02741	0,00402	-0,00558169
0,00404	-1,27414	0,00404	-1,01116	0,00404	-0,0067083
0,00406	-1,25595	0,00406	-0,995224	0,00406	-0,0078349
0,00408	-1,22811	0,00408	-0,978808	0,00408	-0,000914315
0,0041	-1,20638	0,0041	-0,961748	0,0041	-0,0078349
0,00412	-1,17725	0,00412	-0,945493	0,00412	-0,0115366
0,00414	-1,15585	0,00414	-0,928272	0,00414	-0,00574263
0,00416	-1,1317	0,00416	-0,911212	0,00416	-0,00187998
0,00418	-1,11046	0,00418	-0,894152	0,00418	-0,00751302
0,0042	-1,08101	0,0042	-0,87677	0,0042	-0,00654735
0,00422	-1,05638	0,00422	-0,859227	0,00422	-0,00477697
0,00424	-1,03353	0,00424	-0,842006	0,00424	-0,00719113
0,00426	-1,00585	0,00426	-0,824141	0,00426	-0,00992717
0,00428	-0,98251	0,00428	-0,806598	0,00428	-0,00735207
0,0043	-0,953701	0,0043	-0,788412	0,0043	-0,00654735
0,00432	-0,931008	0,00432	-0,770386	0,00432	-0,00719113
0,00434	-0,903004	0,00434	-0,752039	0,00434	-0,0078349
0,00436	-0,884495	0,00436	-0,733852	0,00436	-0,00606452
0,00438	-0,85118	0,00438	-0,715504	0,00438	-0,00686924
0,0044	-0,827843	0,0044	-0,696996	0,0044	-0,000914315
0,00442	-0,800804	0,00442	-0,677844	0,00442	-0,00606452
0,00444	-0,773444	0,00444	-0,659818	0,00444	-0,00638641
0,00446	-0,747049	0,00446	-0,640505	0,00446	-0,00574263
0,00448	-0,724034	0,00448	-0,621674	0,00448	-0,00767396
0,0045	-0,694582	0,0045	-0,602683	0,0045	-0,00863962
0,00452	-0,66867	0,00452	-0,58337	0,00452	-0,00606452
0,00454	-0,64147	0,00454	-0,564378	0,00454	-0,00542074
0,00456	-0,617651	0,00456	-0,544743	0,00456	-0,0115366
0,00458	-0,589164	0,00458	-0,525591	0,00458	-0,00686924
0,0046	-0,558102	0,0046	-0,505795	0,0046	-0,00509886
0,00462	-0,531546	0,00462	-0,485999	0,00462	-0,0067083
0,00464	-0,503059	0,00464	-0,466686	0,00464	-0,00348942
0,00466	-0,47087	0,00466	-0,44705	0,00466	-0,00622546
0,00468	-0,446407	0,00468	-0,426933	0,00468	-0,00590358
0,0047	-0,418403	0,0047	-0,406815	0,0047	-0,00799585
0,00472	-0,387984	0,00472	-0,387018	0,00472	-0,00686924
0,00474	-0,362877	0,00474	-0,367061	0,00474	-0,00590358
0,00476	-0,340184	0,00476	-0,346944	0,00476	-0,00960529
0,00478	-0,311697	0,00478	-0,326826	0,00478	-0,00686924
0,0048	-0,278221	0,0048	-0,306708	0,0048	-0,00606452
0,00482	-0,248607	0,00482	-0,286429	0,00482	-0,00719113
0,00484	-0,223339	0,00484	-0,266633	0,00484	-0,00751302
0,00486	-0,192438	0,00486	-0,245871	0,00486	-0,0078349
0,00488	-0,168618	0,00488	-0,225753	0,00488	-0,00863962
0,0049	-0,136912	0,0049	-0,205152	0,0049	-0,00751302
0,00492	-0,107781	0,00492	-0,185195	0,00492	-0,00847868
0,00494	-0,0823519	0,00494	-0,164433	0,00494	-0,00847868
0,00496	-0,0548305	0,00496	-0,144154	0,00496	-0,01041
0,00498	-0,0226417	0,00498	-0,123393	0,00498	-0,00397225
0,005	0,00230456	0,005	-0,102953	0,005	-0,00880057
0,00502	0,0304698	0,00502	-0,0831566	0,00502	-0,00590358
0,00504	0,0539676	0,00504	-0,0628777	0,00504	-0,00944434
0,00506	0,0859954	0,00506	-0,0424378	0,00506	-0,00606452
0,00508	0,110298	0,00508	-0,021998	0,00508	-0,00944434
0,0051	0,147154	0,0051	-0,00155809	0,0051	-0,00558169
0,00512	0,169847	0,00512	0,0188818	0,00512	-0,00574263
0,00514	0,197369	0,00514	0,0391607	0,00514	-0,00622546
0,00516	0,226017	0,00516	0,0594397	0,00516	-0,00654735
0,00518	0,250158	0,00518	0,0800405	0,00518	-0,00815679
0,0052	0,2846	0,0052	0,10048	0,0052	-0,00767396
0,00522	0,310352	0,00522	0,121081	0,00522	-0,00767396
0,00524	0,337712	0,00524	0,141682	0,00524	-0,00574263
0,00526	0,362658	0,00526	0,161961	0,00526	-0,00574263
0,00528	0,393721	0,00528	0,18224	0,00528	-0,0107319
0,0053	0,424783	0,0053	0,202358	0,0053	-0,00542074
0,00532	0,450695	0,00532	0,222959	0,00532	-0,00348942
0,00534	0,473871	0,00534	0,242916	0,00534	-0,00831774
0,00536	0,504611	0,00536	0,263356	0,00536	-0,0102491
0,00538	0,529236	0,00538	0,283796	0,00538	-0,00654735
0,0054	0,562068	0,0054	0,303592	0,0054	-0,00896151
0,00542	0,585405	0,00542	0,324032	0,00542	-0,0052598
0,00544	0,61518	0,00544	0,344311	0,00544	-0,0100881
0,00546	0,639805	0,00546	0,364268	0,00546	-0,010571
0,00548	0,664429	0,00548	0,384225	0,00548	-0,00815679
0,0055	0,695652	0,0055	0,404504	0,0055	-0,010571
0,00552	0,72253	0,00552	0,4243	0,00552	-0,00381131
0,00554	0,751339	0,00554	0,444096	0,00554	-0,00171903
0,00556	0,776125	0,00556	0,463249	0,00556	-0,00187998
0,00558	0,799462	0,00558	0,483045	0,00558	-0,00220187
0,0056	0,825052	0,0056	0,502358	0,0056	-0,00735207
0,00562	0,856597	0,00562	0,522476	0,00562	-0,00429414
0,00564	0,884441	0,00564	0,541307	0,00564	-0,00542074
0,00566	0,90472	0,00566	0,560781	0,00566	-0,00847868
0,00568	0,930632	0,00568	0,580094	0,00568	-0,00558169
0,0057	0,958958	0,0057	0,599086	0,0057	-0,00863962
0,00572	0,982617	0,00572	0,618238	0,00572	-0,00944434
0,00574	1,01094	0,00574	0,637069	0,00574	-0,00429414
0,00576	1,02849	0,00576	0,65606	0,00576	-0,00703018
0,00578	1,05778	0,00578	0,674891	0,00578	-0,00348942
0,0058	1,07902	0,0058	0,693238	0,0058	-0,00863962
0,00582	1,10606	0,00582	0,711586	0,00582	-0,00863962
0,00584	1,13391	0,00584	0,730095	0,00584	-0,00332847
0,00586	1,15531	0,00586	0,74812	0,00586	-0,00686924
