Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000308	-2,24494	0,000308	-2,24494	0,000308	-1,4876
0,00031	-2,23899	0,00031	-2,24172	0,00031	-1,49082
0,000312	-2,24366	0,000312	-2,24382	0,000312	-1,49324
0,000314	-2,2406	0,000314	-2,24527	0,000314	-1,49614
0,000316	-2,24188	0,000316	-2,24446	0,000316	-1,49839
0,000318	-2,24156	0,000318	-2,24285	0,000318	-1,50064
0,00032	-2,2385	0,00032	-2,24366	0,00032	-1,50322
0,000322	-2,23915	0,000322	-2,24156	0,000322	-1,5058
0,000324	-2,23979	0,000324	-2,24076	0,000324	-1,50757
0,000326	-2,23899	0,000326	-2,24188	0,000326	-1,50982
0,000328	-2,23883	0,000328	-2,23947	0,000328	-1,51175
0,00033	-2,23657	0,00033	-2,2385	0,00033	-1,51465
0,000332	-2,23818	0,000332	-2,2406	0,000332	-1,51739
0,000334	-2,23915	0,000334	-2,23899	0,000334	-1,51916
0,000336	-2,23351	0,000336	-2,23673	0,000336	-1,52045
0,000338	-2,23786	0,000338	-2,23641	0,000338	-1,52286
0,00034	-2,23593	0,00034	-2,23947	0,00034	-1,52431
0,000342	-2,23995	0,000342	-2,2377	0,000342	-1,52624
0,000344	-2,23367	0,000344	-2,23641	0,000344	-1,5285
0,000346	-2,23448	0,000346	-2,23866	0,000346	-1,53043
0,000348	-2,2385	0,000348	-2,23496	0,000348	-1,53236
0,00035	-2,23287	0,00035	-2,23593	0,00035	-1,53445
0,000352	-2,23416	0,000352	-2,23657	0,000352	-1,53655
0,000354	-2,23641	0,000354	-2,23641	0,000354	-1,53784
0,000356	-2,23351	0,000356	-2,23641	0,000356	-1,53945
0,000358	-2,23206	0,000358	-2,23416	0,000358	-1,54138
0,00036	-2,23061	0,00036	-2,23351	0,00036	-1,54299
0,000362	-2,23464	0,000362	-2,234	0,000362	-1,54444
0,000364	-2,23206	0,000364	-2,23786	0,000364	-1,54637
0,000366	-2,22933	0,000366	-2,23432	0,000366	-1,54766
0,000368	-2,23448	0,000368	-2,23271	0,000368	-1,54894
0,00037	-2,22723	0,00037	-2,23351	0,00037	-1,5512
0,000372	-2,23222	0,000372	-2,2319	0,000372	-1,55184
0,000374	-2,23142	0,000374	-2,23319	0,000374	-1,55361
0,000376	-2,23335	0,000376	-2,23351	0,000376	-1,5549
